,Gross domestic product 2022,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States," 25,439,700 ",
CHN,2,,China," 17,963,171 ",
JPN,3,,Japan," 4,232,174 ",
DEU,4,,Germany," 4,082,469 ",
IND,5,,India," 3,416,646 ",
GBR,6,,United Kingdom," 3,089,073 ",
FRA,7,,France," 2,779,092 ",
RUS,8,,Russian Federation," 2,240,422 ",a
CAN,9,,Canada," 2,137,939 ",
ITA,10,,Italy," 2,049,737 ",
BRA,11,,Brazil," 1,920,096 ",
AUS,12,,Australia," 1,692,957 ",
KOR,13,,"Korea, Rep."," 1,673,916 ",
MEX,14,,Mexico," 1,465,854 ",
ESP,15,,Spain," 1,417,800 ",
IDN,16,,Indonesia," 1,319,100 ",
SAU,17,,Saudi Arabia," 1,108,572 ",
NLD,18,,Netherlands," 1,009,399 ",
TUR,19,,Türkiye," 907,118 ",
CHE,20,,Switzerland," 818,427 ",
POL,21,,Poland," 688,125 ",
CUB,22,,Cuba," 633,442 ",
ARG,23,,Argentina," 631,133 ",
SWE,24,,Sweden," 591,189 ",
BEL,25,,Belgium," 583,436 ",
NOR,26,,Norway," 579,422 ",
IRL,27,,Ireland," 533,140 ",
ISR,28,,Israel," 525,002 ",
ARE,29,,United Arab Emirates," 507,064 ",
THA,30,,Thailand," 495,423 ",
EGY,31,,"Egypt, Arab Rep."," 476,748 ",
NGA,32,,Nigeria," 472,625 ",
AUT,33,,Austria," 470,942 ",
SGP,34,,Singapore," 466,788 ",
BGD,35,,Bangladesh," 460,201 ",
IRN,36,,"Iran, Islamic Rep."," 413,493 ",
VNM,37,,Viet Nam," 408,802 ",
MYS,38,,Malaysia," 407,027 ",
ZAF,39,,South Africa," 405,271 ",
PHL,40,,Philippines," 404,284 ",
DNK,41,,Denmark," 400,167 ",
PAK,42,,Pakistan," 374,697 ",
HKG,43,,"Hong Kong SAR, China"," 359,839 ",
COL,44,,Colombia," 343,622 ",
CHL,45,,Chile," 301,025 ",
ROU,46,,Romania," 300,691 ",
CZE,47,,Czech Republic," 290,528 ",
FIN,48,,Finland," 282,896 ",
IRQ,49,,Iraq," 264,182 ",
PRT,50,,Portugal," 255,197 ",
NZL,51,,New Zealand," 248,102 ",
PER,52,,Peru," 242,632 ",
QAT,53,,Qatar," 236,258 ",
KAZ,54,,Kazakhstan," 225,496 ",
GRC,55,,Greece," 217,581 ",
DZA,56,,Algeria," 194,998 ",
HUN,57,,Hungary," 177,337 ",
KWT,58,,Kuwait," 175,363 ",
UKR,59,,Ukraine," 160,503 ",a
MAR,60,,Morocco," 130,913 ",b
ETH,61,,Ethiopia," 126,783 ",
SVK,62,,Slovak Republic," 115,462 ",
ECU,63,,Ecuador," 115,049 ",
OMN,64,,Oman," 114,667 ",
DOM,65,,Dominican Republic," 113,537 ",
PRI,66,,Puerto Rico," 113,435 ",
KEN,67,,Kenya," 113,420 ",
AGO,68,,Angola," 106,783 ",
GTM,69,,Guatemala," 95,003 ",
BGR,70,,Bulgaria," 90,346 ",
LUX,71,,Luxembourg," 81,642 ",
UZB,72,,Uzbekistan," 80,392 ",
AZE,73,,Azerbaijan," 78,721 ",
PAN,74,,Panama," 76,523 ",
TZA,75,,Tanzania," 75,732 ",c
LKA,76,,Sri Lanka," 74,404 ",
GHA,77,,Ghana," 73,766 ",
BLR,78,,Belarus," 72,793 ",
HRV,79,,Croatia," 71,600 ",
URY,80,,Uruguay," 71,177 ",
LTU,81,,Lithuania," 70,974 ",
CIV,82,,Côte d'Ivoire," 70,019 ",
CRI,83,,Costa Rica," 69,244 ",
COD,84,,"Congo, Dem. Rep."," 64,719 ",
SRB,85,,Serbia," 63,563 ",
MMR,86,,Myanmar," 62,263 ",
SVN,87,,Slovenia," 60,063 ",
TKM,88,,Turkmenistan," 56,543 ",
SDN,89,,Sudan," 51,662 ",
JOR,90,,Jordan," 48,653 ",
TUN,91,,Tunisia," 46,304 ",
LBY,92,,Libya," 45,752 ",
UGA,93,,Uganda," 45,567 ",
BHR,94,,Bahrain," 44,383 ",
BOL,95,,Bolivia," 44,008 ",
CMR,96,,Cameroon," 43,644 ",
PRY,97,,Paraguay," 41,722 ",
LVA,98,,Latvia," 40,932 ",
NPL,99,,Nepal," 40,828 ",
EST,100,,Estonia," 38,101 ",
SLV,101,,El Salvador," 32,489 ",
HND,102,,Honduras," 31,718 ",
PNG,103,,Papua New Guinea," 31,604 ",
TTO,104,,Trinidad and Tobago," 30,054 ",
KHM,105,,Cambodia," 29,505 ",
CYP,106,,Cyprus," 29,251 ",d
ZMB,107,,Zambia," 29,164 ",
ISL,108,,Iceland," 28,065 ",
SEN,109,,Senegal," 27,684 ",
ZWE,110,,Zimbabwe," 27,367 ",
GEO,111,,Georgia," 24,781 ",e
BIH,112,,Bosnia and Herzegovina," 24,474 ",
MAC,113,,"Macao SAR, China"," 24,042 ",
LBN,114,,Lebanon," 23,132 ",
GAB,115,,Gabon," 21,072 ",
GIN,116,,Guinea," 20,999 ",
BWA,117,,Botswana," 20,356 ",
HTI,118,,Haiti," 20,254 ",
ARM,119,,Armenia," 19,513 ",
PSE,120,,West Bank and Gaza," 19,112 ",
ALB,121,,Albania," 18,916 ",
MLI,122,,Mali," 18,827 ",
BFA,123,,Burkina Faso," 18,820 ",
MOZ,124,,Mozambique," 18,407 ",
MLT,125,,Malta," 18,126 ",
BEN,126,,Benin," 17,397 ",
MNG,127,,Mongolia," 17,146 ",
JAM,128,,Jamaica," 17,098 ",
BRN,129,,Brunei Darussalam," 16,682 ",
COG,130,,"Congo, Rep."," 15,817 ",
NIC,131,,Nicaragua," 15,672 ",
LAO,132,,Lao PDR," 15,469 ",
NER,133,,Niger," 15,342 ",
MDG,134,,Madagascar," 15,297 ",
GUY,135,,Guyana," 14,718 ",
MDA,136,,Moldova," 14,508 ",f
AFG,137,,Afghanistan," 14,266 ",
MKD,138,,North Macedonia," 13,563 ",
RWA,139,,Rwanda," 13,311 ",
MWI,140,,Malawi," 13,165 ",
MUS,141,,Mauritius," 12,949 ",
NAM,142,,Namibia," 12,915 ",
BHS,143,,"Bahamas, The"," 12,897 ",
TCD,144,,Chad," 12,704 ",
GNQ,145,,Equatorial Guinea," 12,030 ",
CHI,146,,Channel Islands," 11,736 ",
KGZ,147,,Kyrgyz Republic," 11,544 ",
TJK,148,,Tajikistan," 10,492 ",
SOM,149,,Somalia," 10,420 ",
MRT,150,,Mauritania," 9,781 ",
NCL,151,,New Caledonia," 9,623 ",
XKX,152,,Kosovo," 9,409 ",
SYR,153,,Syrian Arab Republic," 8,970 ",
MCO,154,,Monaco," 8,784 ",
TGO,155,,Togo," 8,341 ",
LIE,156,,Liechtenstein," 7,710 ",
BMU,157,,Bermuda," 7,546 ",
CYM,158,,Cayman Islands," 6,845 ",
IMN,159,,Isle of Man," 6,684 ",
MNE,160,,Montenegro," 6,230 ",
MDV,161,,Maldives," 6,171 ",
GUM,162,,Guam," 6,123 ",
PYF,163,,French Polynesia," 5,815 ",
BRB,164,,Barbados," 5,700 ",
FJI,165,,Fiji," 4,980 ",
SWZ,166,,Eswatini," 4,791 ",
VIR,167,,Virgin Islands (U.S.)," 4,444 ",
SLE,168,,Sierra Leone," 4,095 ",
LBR,169,,Liberia," 4,001 ",
SUR,170,,Suriname," 3,621 ",
FRO,171,,Faroe Islands," 3,556 ",
ABW,172,,Aruba," 3,545 ",
DJI,173,,Djibouti," 3,515 ",
AND,174,,Andorra," 3,352 ",
BDI,175,,Burundi," 3,339 ",
GRL,176,,Greenland," 3,236 ",
TLS,177,,Timor-Leste," 3,205 ",
CUW,178,,Curaçao," 3,075 ",
BLZ,179,,Belize," 2,831 ",
BTN,180,,Bhutan," 2,768 ",
CAF,181,,Central African Republic," 2,383 ",
LCA,182,,St. Lucia," 2,344 ",
LSO,183,,Lesotho," 2,237 ",
CPV,184,,Cabo Verde," 2,227 ",
GMB,185,,"Gambia, The"," 2,187 ",
ATG,186,,Antigua and Barbuda," 1,868 ",
SMR,187,,San Marino," 1,855 ",
GNB,188,,Guinea-Bissau," 1,634 ",
SLB,189,,Solomon Islands," 1,597 ",
SYC,190,,Seychelles," 1,588 ",
SXM,191,,Sint Maarten (Dutch part)," 1,537 ",
COM,192,,Comoros," 1,243 ",
GRD,193,,Grenada," 1,215 ",
TCA,194,,Turks and Caicos Islands," 1,139 ",
VUT,195,,Vanuatu," 1,056 ",
KNA,196,,St. Kitts and Nevis, 966 ,
VCT,197,,St. Vincent and the Grenadines, 949 ,
ASM,198,,American Samoa, 871 ,
MNP,199,,Northern Mariana Islands, 858 ,
WSM,200,,Samoa, 833 ,
MAF,201,,St. Martin (French part), 649 ,
DMA,202,,Dominica, 607 ,
STP,203,,São Tomé and Principe, 543 ,
TON,204,,Tonga, 469 ,
FSM,205,,"Micronesia, Fed. Sts.", 424 ,
MHL,206,,Marshall Islands, 259 ,
PLW,207,,Palau, 233 ,
KIR,208,,Kiribati, 223 ,
NRU,209,,Nauru, 152 ,
TUV,210,,Tuvalu, 59 ,
VGB,,,British Virgin Islands, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
SSD,,,South Sudan, -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 101,325,687 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific," 30,688,236 ",
ECS,,,Europe & Central Asia," 25,329,956 ",
LCN,,,Latin America & Caribbean," 6,820,032 ",
MEA,,,Middle East & North Africa," 4,426,622 ",
NAC,,,North America," 27,585,185 ",
SAS,,,South Asia," 4,390,348 ",
SSF,,,Sub-Saharan Africa," 2,060,531 ",
LIC,,,Low income," 528,125 ",
LMC,,,Lower middle income," 8,171,521 ",
UMC,,,Upper middle income," 30,609,458 ",
HIC,,,High income," 61,667,467 ",
,,,,,
,"- Not available.  
Note: Table list 217 economies, but rankings include only those with confirmed GDP estimates for at least one year during the last three years period. Figures in italics are for 2021 or 2020.
a. Based on data from official statistics of Ukraine and Russian Federation as well as the United Nations; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b. Includes Western Sahara.  c. Covers mainland Tanzania only.  d. Data are for the area controlled by the government of Cyprus.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.",,,,
,,,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
